0; Телефон=3; Уточнение=14;
1; Телефон=38; Уточнение=11;
2; Телефон=30; Уточнение=11;
3; Телефон=3; Уточнение=14;
4; Телефон=14; Уточнение=14;
5; Телефон=27; Уточнение=11;
6; Телефон=37; Уточнение=14;
7; Телефон=15; Уточнение=11;
8; Телефон=19; Уточнение=12;
9; Телефон=15; Уточнение=12;
10; Телефон=9; Уточнение=12;
11; Телефон=15; Уточнение=14;
12; Телефон=44; Уточнение=13;
13; Телефон=16; Уточнение=12;
14; Телефон=19; Уточнение=11;
15; Телефон=42; Уточнение=12;
16; Телефон=46; Уточнение=12;
17; Телефон=20; Уточнение=14;
18; Телефон=3; Уточнение=14;
19; Телефон=2; Уточнение=14;
20; Телефон=20; Уточнение=13;
21; Телефон=48; Уточнение=11;
22; Телефон=11; Уточнение=12;
23; Телефон=36; Уточнение=11;
24; Телефон=10; Уточнение=12;
25; Телефон=4; Уточнение=11;
26; Телефон=9; Уточнение=12;
27; Телефон=28; Уточнение=11;
28; Телефон=5; Уточнение=11;
29; Телефон=11; Уточнение=12;
30; Телефон=40; Уточнение=12;
31; Телефон=27; Уточнение=14;
32; Телефон=46; Уточнение=11;
33; Телефон=18; Уточнение=12;
34; Телефон=5; Уточнение=14;
35; Телефон=19; Уточнение=14;
36; Телефон=41; Уточнение=13;
37; Телефон=15; Уточнение=12;
38; Телефон=17; Уточнение=13;
39; Телефон=42; Уточнение=13;
40; Телефон=21; Уточнение=14;
41; Телефон=25; Уточнение=12;
42; Телефон=3; Уточнение=14;
43; Телефон=32; Уточнение=13;
44; Телефон=43; Уточнение=12;
45; Телефон=8; Уточнение=12;
46; Телефон=4; Уточнение=11;
47; Телефон=29; Уточнение=14;
48; Телефон=20; Уточнение=14;
49; Телефон=2; Уточнение=12;
50; Телефон=1; Уточнение=13;
51; Телефон=31; Уточнение=11;
52; Телефон=21; Уточнение=13;
53; Телефон=36; Уточнение=13;
54; Телефон=16; Уточнение=14;
55; Телефон=38; Уточнение=11;
56; Телефон=45; Уточнение=11;
57; Телефон=9; Уточнение=11;
58; Телефон=40; Уточнение=12;
59; Телефон=15; Уточнение=12;
60; Телефон=2; Уточнение=14;
61; Телефон=36; Уточнение=11;
62; Телефон=11; Уточнение=11;
63; Телефон=1; Уточнение=12;
64; Телефон=34; Уточнение=13;
65; Телефон=41; Уточнение=14;
66; Телефон=16; Уточнение=11;
67; Телефон=45; Уточнение=13;
68; Телефон=34; Уточнение=11;
69; Телефон=38; Уточнение=14;
70; Телефон=8; Уточнение=14;
71; Телефон=24; Уточнение=11;
72; Телефон=9; Уточнение=12;
73; Телефон=18; Уточнение=13;
74; Телефон=10; Уточнение=11;
75; Телефон=6; Уточнение=14;
76; Телефон=26; Уточнение=14;
77; Телефон=8; Уточнение=11;
78; Телефон=16; Уточнение=14;
79; Телефон=26; Уточнение=14;
80; Телефон=26; Уточнение=14;
81; Телефон=22; Уточнение=13;
82; Телефон=12; Уточнение=13;
83; Телефон=37; Уточнение=11;
84; Телефон=1; Уточнение=14;
85; Телефон=37; Уточнение=12;
86; Телефон=34; Уточнение=11;
87; Телефон=40; Уточнение=11;
88; Телефон=46; Уточнение=14;
89; Телефон=15; Уточнение=14;
90; Телефон=12; Уточнение=13;
91; Телефон=31; Уточнение=14;
92; Телефон=9; Уточнение=14;
93; Телефон=40; Уточнение=11;
94; Телефон=9; Уточнение=11;
95; Телефон=47; Уточнение=14;
96; Телефон=5; Уточнение=12;
97; Телефон=32; Уточнение=13;
98; Телефон=28; Уточнение=13;
99; Телефон=13; Уточнение=13;
